STT;Name;English Name;image;Calories;Chất đạm;Chất béo;Carbohydrate;Vitamin A;Potassium;MUFA+PUFA;Canxi;Sắt;Kẽm;Natri;Cholesterol;Magie;Beta-caroten;Vitamin C;Sodium;Transfat
85;Cơm suất 45k;(Set meal 45k);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_14.webp;925.0;54.9;28.7;111.9;20.7;;;129.2;5.0;4.5;749.9;30.5;87.1;35.5;25.4;;
86;Cơm suất 45k;(Set meal 45k);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_13.webp;686.2;35.9;16.8;97.8;309.3;;;204.0;5.2;3.7;734.7;566.2;71.3;2150.4;20.9;;
87;Cơm suất 45k;(Set meal 45k);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_12.webp;740.4;34.8;17.8;110.2;698.1;;;224.1;6.7;5.2;780.9;321.3;76.9;7425.9;62.4;;
88;Cơm suất 40K;(Set meal 40k);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_11.webp;631.1;30.2;22.6;76.8;53.9;;;92.6;3.5;4.1;774.6;46.7;55.0;355.2;11.7;;
89;Cơm suất 40k;(Set meal 40k);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_10.webp;596.7;32.0;11.2;91.9;14.0;;;147.1;3.0;2.6;636.8;39.3;74.6;88.8;30.9;;
90;Cơm suất 35k;(Set meal 35k);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_9.webp;669.7;29.4;16.9;100.0;155.7;;;119.4;4.7;4.1;728.7;245.3;58.2;729.7;10.2;;
91;Cơm suất 30k;(Set meal 30k);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_8.webp;866.2;33.3;22.1;133.5;59.6;;;86.7;5.7;4.3;377.8;78.6;101.5;9.3;22.4;;
92;Cơm suất 30k;(Set meal 30k);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_7.webp;718.8;39.0;18.3;99.4;56.6;;;202.8;5.5;5.6;556.3;48.2;51.0;530.7;27.0;;
93;Cơm rang thập cẩm;(Mixed fried rice);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_6.webp;930.8;39.8;24.5;137.8;133.2;;;130.6;5.2;3.3;3628.7;257.9;99.0;408.0;15.3;;
94;Cơm rang dưa bò;(Fried rice with pickled mustard greens and beef);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_5.webp;753.4;36.9;17.1;113.0;123.4;;;142.8;5.9;6.1;2014.6;259.8;95.3;413.0;19.8;;
